query	status	time_ms	shape	notes
Q01	OK	155.665	FS	full all.sql run on PostgreSQL 15; single Foreign Scan
Q02	OK	8.303	FS+LOCAL_SORT+LOCAL_LIMIT	full all.sql run on PostgreSQL 15 after global remote LIMIT guard; local top-N wrapper above remote Foreign Scan
Q03	OK	41.909	FS+LOCAL_SORT+LOCAL_LIMIT	full all.sql run on PostgreSQL 15 after global remote LIMIT guard; local top-N wrapper avoids the final-upper pathkey failure
Q04	OK	23.530	FS	full all.sql run on PostgreSQL 15; single Foreign Scan
Q05	OK	23.028	FS	full all.sql run on PostgreSQL 15; single Foreign Scan
Q06	OK	7.897	FS	full all.sql run on PostgreSQL 15; single Foreign Scan
Q07	OK	36.992	FS	full all.sql run on PostgreSQL 15; single Foreign Scan
Q08	OK	34.336	FS	full all.sql run on PostgreSQL 15; single Foreign Scan
Q09	OK	69.502	FS	full all.sql run on PostgreSQL 15; single Foreign Scan
Q10	OK	210.473	FS	full all.sql run on PostgreSQL 15; single Foreign Scan
Q11	OK	41.350	FS+INITPLAN	full all.sql run on PostgreSQL 15; remote Foreign Scan plus remote InitPlan
Q12	OK	11.589	FS	full all.sql run on PostgreSQL 15; single Foreign Scan
Q13	OK	62.562	FS	full all.sql run on PostgreSQL 15; single Foreign Scan
Q14	OK	4.415	FS	full all.sql run on PostgreSQL 15; single Foreign Scan
Q15	OK	38.182	MIXED	full all.sql run on PostgreSQL 15; local sort over remote view-expanded scan and InitPlan
Q16	OK	57.914	FS	full all.sql run on PostgreSQL 15; single Foreign Scan
Q17	OK	29.054	FS	full all.sql run on PostgreSQL 15; single Foreign Scan
Q18	OK	50.926	FS	full all.sql run on PostgreSQL 15; single Foreign Scan
Q19	OK	46.396	FS	full all.sql run on PostgreSQL 15; single Foreign Scan
Q20	OK	315.329	FS+LOCAL_SORT	full all.sql run on PostgreSQL 15; local sort above remote Foreign Scan
Q21	OK	72.684	FS+LOCAL_LIMIT	full all.sql run on PostgreSQL 15; local Limit above remote Foreign Scan
Q22	OK	21.805	FS+INITPLAN+LOCAL_LIMIT	full all.sql run on PostgreSQL 15; remote InitPlan plus local Limit wrapper
