query	status	time_ms	shape	notes
Q01	OK	153.068	FS	full all.sql run on PostgreSQL 17; single Foreign Scan
Q02	OK	7.745	FS+LOCAL_SORT+LOCAL_LIMIT	full all.sql run on PostgreSQL 17 after global remote LIMIT guard; local top-N wrapper above remote Foreign Scan
Q03	OK	41.070	FS+LOCAL_SORT+LOCAL_LIMIT	full all.sql run on PostgreSQL 17 after global remote LIMIT guard; local top-N wrapper avoids the final-upper pathkey failure
Q04	OK	21.727	FS	full all.sql run on PostgreSQL 17; single Foreign Scan
Q05	OK	23.552	FS	full all.sql run on PostgreSQL 17; single Foreign Scan
Q06	OK	6.181	FS	full all.sql run on PostgreSQL 17; single Foreign Scan
Q07	OK	35.407	FS	full all.sql run on PostgreSQL 17; single Foreign Scan
Q08	OK	34.861	FS	full all.sql run on PostgreSQL 17; single Foreign Scan
Q09	OK	67.635	FS	full all.sql run on PostgreSQL 17; single Foreign Scan
Q10	OK	204.657	FS	full all.sql run on PostgreSQL 17; single Foreign Scan
Q11	OK	40.824	FS+INITPLAN	full all.sql run on PostgreSQL 17; remote Foreign Scan plus remote InitPlan
Q12	OK	12.188	FS	full all.sql run on PostgreSQL 17; single Foreign Scan
Q13	OK	64.719	FS	full all.sql run on PostgreSQL 17; single Foreign Scan
Q14	OK	5.347	FS	full all.sql run on PostgreSQL 17; single Foreign Scan
Q15	OK	36.988	MIXED	full all.sql run on PostgreSQL 17; local sort over remote view-expanded scan and InitPlan
Q16	OK	56.218	FS	full all.sql run on PostgreSQL 17; single Foreign Scan
Q17	OK	27.296	FS	full all.sql run on PostgreSQL 17; single Foreign Scan
Q18	OK	41.683	FS	full all.sql run on PostgreSQL 17; single Foreign Scan
Q19	OK	45.473	FS	full all.sql run on PostgreSQL 17; single Foreign Scan
Q20	OK	297.208	FS+LOCAL_SORT	full all.sql run on PostgreSQL 17; local sort above remote Foreign Scan
Q21	OK	65.311	FS+LOCAL_LIMIT	full all.sql run on PostgreSQL 17; local Limit above remote Foreign Scan
Q22	OK	20.561	FS+INITPLAN+LOCAL_LIMIT	full all.sql run on PostgreSQL 17; remote InitPlan plus local Limit wrapper
