query	status	time_ms	shape	notes
Q01	OK	156.928	FS	full all.sql run on PostgreSQL 19; single Foreign Scan
Q02	OK	7.897	FS+LOCAL_SORT+LOCAL_LIMIT	full all.sql run on PostgreSQL 19 after global remote LIMIT guard; local top-N wrapper above remote Foreign Scan
Q03	OK	41.053	FS+LOCAL_SORT+LOCAL_LIMIT	full all.sql run on PostgreSQL 19 after global remote LIMIT guard; local top-N wrapper avoids the final-upper pathkey failure
Q04	OK	22.618	FS	full all.sql run on PostgreSQL 19; single Foreign Scan
Q05	OK	23.817	FS	full all.sql run on PostgreSQL 19; single Foreign Scan
Q06	OK	6.816	FS	full all.sql run on PostgreSQL 19; single Foreign Scan
Q07	OK	35.616	FS	full all.sql run on PostgreSQL 19; single Foreign Scan
Q08	OK	34.394	FS	full all.sql run on PostgreSQL 19; single Foreign Scan
Q09	OK	67.603	FS	full all.sql run on PostgreSQL 19; single Foreign Scan
Q10	OK	198.778	FS	full all.sql run on PostgreSQL 19; single Foreign Scan
Q11	OK	38.866	FS+INITPLAN	full all.sql run on PostgreSQL 19; remote Foreign Scan plus remote InitPlan
Q12	OK	11.207	FS	full all.sql run on PostgreSQL 19; single Foreign Scan
Q13	OK	65.717	FS	full all.sql run on PostgreSQL 19; single Foreign Scan
Q14	OK	4.853	FS	full all.sql run on PostgreSQL 19; single Foreign Scan
Q15	OK	35.774	MIXED	full all.sql run on PostgreSQL 19; local sort over remote view-expanded scan and InitPlan
Q16	OK	57.811	FS	full all.sql run on PostgreSQL 19; single Foreign Scan
Q17	OK	26.985	FS	full all.sql run on PostgreSQL 19; single Foreign Scan
Q18	OK	45.047	FS	full all.sql run on PostgreSQL 19; single Foreign Scan
Q19	OK	46.294	FS	full all.sql run on PostgreSQL 19; single Foreign Scan
Q20	OK	281.997	FS+LOCAL_SORT	full all.sql run on PostgreSQL 19; local sort above remote Foreign Scan
Q21	OK	70.396	FS+LOCAL_LIMIT	full all.sql run on PostgreSQL 19; local Limit above remote Foreign Scan
Q22	OK	27.066	FS+INITPLAN+LOCAL_LIMIT	full all.sql run on PostgreSQL 19; remote InitPlan plus local Limit wrapper
