query	status	time_ms	shape	notes
Q01	OK	159.995	FS	full all.sql run on PostgreSQL 16; single Foreign Scan
Q02	OK	8.356	FS+LOCAL_SORT+LOCAL_LIMIT	full all.sql run on PostgreSQL 16 after global remote LIMIT guard; local top-N wrapper above remote Foreign Scan
Q03	OK	43.770	FS+LOCAL_SORT+LOCAL_LIMIT	full all.sql run on PostgreSQL 16 after global remote LIMIT guard; local top-N wrapper avoids the final-upper pathkey failure
Q04	OK	25.024	FS	full all.sql run on PostgreSQL 16; single Foreign Scan
Q05	OK	24.581	FS	full all.sql run on PostgreSQL 16; single Foreign Scan
Q06	OK	8.292	FS	full all.sql run on PostgreSQL 16; single Foreign Scan
Q07	OK	37.164	FS	full all.sql run on PostgreSQL 16; single Foreign Scan
Q08	OK	37.526	FS	full all.sql run on PostgreSQL 16; single Foreign Scan
Q09	OK	71.411	FS	full all.sql run on PostgreSQL 16; single Foreign Scan
Q10	OK	205.867	FS	full all.sql run on PostgreSQL 16; single Foreign Scan
Q11	OK	39.548	FS+INITPLAN	full all.sql run on PostgreSQL 16; remote Foreign Scan plus remote InitPlan
Q12	OK	10.962	FS	full all.sql run on PostgreSQL 16; single Foreign Scan
Q13	OK	60.047	FS	full all.sql run on PostgreSQL 16; single Foreign Scan
Q14	OK	5.423	FS	full all.sql run on PostgreSQL 16; single Foreign Scan
Q15	OK	35.318	MIXED	full all.sql run on PostgreSQL 16; local sort over remote view-expanded scan and InitPlan
Q16	OK	51.602	FS	full all.sql run on PostgreSQL 16; single Foreign Scan
Q17	OK	29.750	FS	full all.sql run on PostgreSQL 16; single Foreign Scan
Q18	OK	44.160	FS	full all.sql run on PostgreSQL 16; single Foreign Scan
Q19	OK	46.173	FS	full all.sql run on PostgreSQL 16; single Foreign Scan
Q20	OK	293.433	FS+LOCAL_SORT	full all.sql run on PostgreSQL 16; local sort above remote Foreign Scan
Q21	OK	75.554	FS+LOCAL_LIMIT	full all.sql run on PostgreSQL 16; local Limit above remote Foreign Scan
Q22	OK	20.387	FS+INITPLAN+LOCAL_LIMIT	full all.sql run on PostgreSQL 16; remote InitPlan plus local Limit wrapper
